nome_arquivo;tamanho_bytes;rtt_total_segundos;tempo_execucao_segundos;overhead_segundos;status
arquivo_079.txt;5242880;5,08887;0,81334;4,27553;Sucesso
arquivo_080.txt;5242880;1,53904;0,691156;0,84789;Sucesso
arquivo_081.txt;5242880;4,60433;0,67517;3,92916;Sucesso
arquivo_082.txt;5242880;5,10933;0,766844;4,34249;Sucesso
arquivo_083.txt;5242880;5,11962;0,696149;4,42347;Sucesso
arquivo_084.txt;5242880;2,01866;0,778955;1,23971;Sucesso
arquivo_085.txt;5242880;5,09071;0,778571;4,31214;Sucesso
arquivo_086.txt;5242880;4,10215;0,66461;3,43754;Sucesso
arquivo_087.txt;5242880;4,59655;0,673822;3,92272;Sucesso
arquivo_088.txt;5242880;4,60879;0,683008;3,92578;Sucesso
arquivo_089.txt;5242880;4,60408;0,697565;3,90652;Sucesso
arquivo_090.txt;5242880;5,62466;0,986703;4,63796;Sucesso
arquivo_091.txt;5242880;1,53316;0,985527;0,54763;Sucesso
arquivo_092.txt;5242880;5,1192;0,876049;4,24315;Sucesso
arquivo_093.txt;5242880;5,62311;1,294587;4,32852;Sucesso
arquivo_094.txt;5242880;4,08765;0,916687;3,17096;Sucesso
arquivo_095.txt;5242880;2,03213;0,917449;1,11468;Sucesso
arquivo_096.txt;5242880;4,5986;0,895942;3,70266;Sucesso
arquivo_097.txt;5242880;5,13068;0,957465;4,17322;Sucesso
arquivo_098.txt;5242880;5,09137;0,879943;4,21143;Sucesso
arquivo_099.txt;5242880;2,03347;0,970783;1,06269;Sucesso
arquivo_100.txt;5242880;5,08082;0,971394;4,10943;Sucesso
